NOM_CAPA,LONGITUD,LATITUD,EQUIPAMENT,NOM_BARRI,id
Metro i línies urbanes FGC,2.206108,41.423466,La Pau (Rambla Guipúscoa / Ca n'Oliva)-,la Verneda i la Pau,215
Metro i línies urbanes FGC,2.184372,41.449449,Trinitat Nova (Palamós)-,la Trinitat Nova,216
Metro i línies urbanes FGC,2.179282,41.459334,Torre Baró | Vallbona (Sant Feliu de Codines)-,Torre Baró,217
Metro i línies urbanes FGC,2.181941,41.392996,Arc de Triomf (Nàpols)-,el Fort Pienc,218
Metro i línies urbanes FGC,2.168511,41.43058,Vilapicina (Teide)-,el Turó de la Peira,219
Metro i línies urbanes FGC,2.175771,41.403899,Sagrada Família (Mallorca - Marina)-,la Sagrada Família,220
Metro i línies urbanes FGC,2.16545,41.392028,Passeig de Gràcia (Aragó / Pau Claris)-,la Dreta de l'Eixample,221
Metro i línies urbanes FGC,2.140981,41.417415,Penitents (Anna Piferrer)-,Vallcarca i els Penitents,222
Ferrocarrils Generalitat (FGC),2.151636,41.399679,FGC - GRÀCIA (C. de Marià Cubí)-,Sant Gervasi - Galvany,223
Metro i línies urbanes FGC,2.174512,41.416048,Guinardó | Hospital de Sant Pau (Sant Quintí)-,el Guinardó,224
Metro i línies urbanes FGC,2.173922,41.437645,Llucmajor (Passeig Verdum / Llucmajor)-,la Guineueta,225
Metro i línies urbanes FGC,2.178923,41.444281,Via Júlia (Via Júlia / Joaquim Valls)-,la Prosperitat,226
Metro i línies urbanes FGC,2.131699,41.362404,Ciutat de la Justícia (Gran Via / Alhambra)-,,227
RENFE,2.147997,41.492347,RENFE - CERDANYOLA DEL VALLÈS-,,228
Ferrocarrils Generalitat (FGC),2.124523,41.39935,FGC - SARRIÀ-,Sarrià,229
Ferrocarrils Generalitat (FGC),2.130463,41.361391,FGC - ILDEFONS CERDÀ-,,230
Metro i línies urbanes FGC,2.160976,41.430139,Horta (Plaça Eivissa)-,Horta,231
RENFE,2.169312,41.387546,RENFE - CATALUNYA-,la Dreta de l'Eixample,232
RENFE,2.188597,41.409995,RENFE - CLOT-,el Clot,233
RENFE,2.185449,41.384232,RENFE - DE FRANÇA-,"Sant Pere, Santa Caterina i la Ribera",234
RENFE,2.183101,41.430862,RENFE - SANT ANDREU ARENAL-,Sant Andreu,235
Metro i línies urbanes FGC,2.167342,41.430599,Vilapicina (Canfranc)-,el Turó de la Peira,236
Metro i línies urbanes FGC,2.165214,41.441723,Canyelles (García Lorca)-,Canyelles,237
Tramvia,2.203312,41.40744,TRAMVIA (T4) - FLUVIÀ-,Provençals del Poblenou,238
